tcp_frame_length,tcp_ip_length,tcp_length,udp_frame_length,udp_ip_length,udp_length,num_tls,num_http,num_dhcp,num_dns,num_tcp,num_udp,num_igmp,num_connection_pairs,num_ports,num_packets,window_end_time
0,0,0,87,73,53,0,0,0,1,0,1,0,1,1,2,1651463406242
2793,2205,21,0,0,0,0,0,0,0,42,0,0,1,2,42,1651463406742
399,315,3,0,0,0,0,0,0,0,6,0,0,1,2,6,1651463407242
5187,4095,39,0,0,0,0,0,0,0,78,0,0,1,2,78,1651463407742
2928,2312,24,0,0,0,0,0,0,0,44,0,0,1,2,44,1651463408242
266,210,2,0,0,0,0,0,0,0,4,0,0,1,2,4,1651463408742
133,105,1,0,0,0,0,0,0,0,2,0,0,1,2,2,1651463409242
74,60,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1651463409742
10532,8670,1602,0,0,0,0,0,0,0,133,0,0,1,13,133,1651463410242
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463410742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463411242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463411742
43217,35685,7709,0,0,0,0,0,0,0,538,0,0,1,13,538,1651463412242
41798,34630,8006,0,0,0,0,0,0,0,512,0,0,1,13,512,1651463412742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463413242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463413742
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463414242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463414742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463415242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463415742
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463416242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463416742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463417242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463417742
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463418242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463418742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463419242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463419742
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463420242
48160,40740,13180,0,0,0,0,0,0,0,530,0,0,1,11,530,1651463420742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463421242
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463421742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463422242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463422742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463423242
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463423742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463424242
45921,37885,8037,0,0,0,0,0,0,0,574,0,0,1,13,574,1651463424742
40788,33774,7722,0,0,0,0,0,0,0,501,0,0,1,13,501,1651463425242
41700,34546,7974,0,0,0,0,0,0,0,511,0,0,1,13,511,1651463425742
43727,36153,8021,0,0,0,0,0,0,0,541,0,0,1,13,541,1651463426242
42928,35522,8014,0,0,0,0,0,0,0,529,0,0,1,13,529,1651463426742
40557,33585,7689,0,0,0,0,0,0,0,498,0,0,1,13,498,1651463427242
43794,36206,8022,0,0,0,0,0,0,0,542,0,0,1,13,542,1651463427742
41532,34420,8004,0,0,0,0,0,0,0,508,0,0,1,13,508,1651463428242
42863,35471,8015,0,0,0,0,0,0,0,528,0,0,1,13,528,1651463428742
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463429242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463429742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463430242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463430742
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463431242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463431742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463432242
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463432742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463433242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463433742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463434242
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463434742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463435242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463435742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463436242
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463436742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463437242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463437742
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463438242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463438742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463439242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463439742
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463440242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463440742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463441242
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463441742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463442242
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463442742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463443242
39360,32640,7680,0,0,0,0,0,0,0,480,0,0,1,11,480,1651463443742
41000,34000,8000,0,0,0,0,0,0,0,500,0,0,1,11,500,1651463444242
47916,39460,8052,0,0,0,0,0,0,0,604,0,0,1,13,604,1651463444742
39524,32776,7712,0,0,0,0,0,0,0,482,0,0,1,11,482,1651463445242
40836,33864,7968,0,0,0,0,0,0,0,498,0,0,1,11,498,1651463445742
